train	eval
0.7076526	0.9973486
0.6852507	0.668481
0.66843706	0.8526595
0.6602417	0.8990479
0.6419632	0.81452805
0.6341876	0.8598423
0.6211556	0.7969029
0.6155357	0.83961046
0.60768336	0.8047744
0.6104423	0.8404907
0.59115803	0.81709063
0.5861914	0.8377694
0.5812996	0.7979178
0.5730143	0.82132745
0.5804509	0.8879125
0.5528864	0.7790059
0.5512102	0.7449781
0.5461805	0.8478739
0.5350573	0.7532995
0.5237937	0.759694
0.5242307	0.78034824
0.50398904	0.7197153
0.5017666	0.6868566
0.48630273	0.67534107
0.48183036	0.6334045
0.467945	0.59915006
0.45342472	0.5697692
0.44570744	0.56297356
0.43751994	0.5513467
0.4234769	0.5494352
0.42522937	0.5514753
0.40586284	0.52087736
0.40168494	0.5061573
0.387663	0.49748126
0.38537988	0.50298816
0.37456805	0.49608088
0.36335093	0.47745085
0.35992056	0.4716757
0.36222625	0.45815083
0.349615	0.4450116
0.3408788	0.4658156
0.3338471	0.45142117
0.3281126	0.4407191
0.3204295	0.41948658
0.31281418	0.42153737
0.3054183	0.4143516
0.29858187	0.42615545
0.29181406	0.4126267
0.29151636	0.3986546
0.28248063	0.3996499
